"DATETIME_ID","TTML","CTKD","NRCELLS","GNBS","PS_CSSR_NR","SDR_NR","HOSR_NR","CELL_DL_THP_NR","CELL_UL_THP_NR","USER_DL_THP_NR","USER_UL_THP_NR","DL_TRAFFIC_NR","UL_TRAFFIC_NR","PRB_UTIL_DL_NR","PRB_UTIL_UL_NR","DKD5G_NR","LATENCY_NR","PKTLOSSR","CONNECTED_RRC_USER_AVERAGE","RANDOM_ACCESS_SUCCESS","MISSED_PACKET","NUMBER_OF_SAMPLES","TRANSFER_TIME","RB_AVAILABLEUL","RB_AVAILABLEDL","RB_USEDUL","RB_USEDDL","ULTRAFFICVOLUME","DLTRAFFICVOLUME","USERULRMVSMALLPKTTRANSFERTIME","USERULRMVLASTSLOTTRAFFICVOLUME","USERDLRMVLASTSLOTTRANSFERTIME","TOTAL_PACKET","USERDLRMVLASTSLOTTRAFFICVOLUME","CELLULTRAFFICVOLUME","CELLDLTRANSFERTIME","CELLDLTRAFFICVOLUME","INTERSGNBPSCELLCHANGEATTEMPT","INTERSGNBPSCELLCHANGESUCCESS","INTRASGNBPSCELLCHANGEATTEMPT","INTRASGNBPSCELLCHANGESUCCESS","SGNBRELEASE","SGNBTRISGNBABNORMALRELEASE","SGNB_ADDITION_ATTEMPT","RANDOM_ACCESS_ATTEMPT","SGNB_ADDITION_SUCC","CELLULTRANSFERTIME","AVAILABLE_TIME","TOTAL_TIME","CONNECTED_RRC_USER_MAX","RASR_NR","RANDOM_ACCESS_SUCCESS_NR","RANDOM_ACCESS_ATTEMPT_NR","EN_DC_SR_NR","SGNB_ADDITION_SUCCESS_NR","SGNB_ADDITION_ATTEMPT_NR","DLDELAY_GNBDU_CELL","ULDELAY_GNBDU_CELL","DLRELPSR_UU","ULRELPSR_UU"
2025040100,"Mien Trung","7",78,27,100,0,0,130.7,9.99,469.21,55.08,3791693.51,274675.59,1.78,2.63,98.87,836975.19,0,537.62,,52775,3117204328,326127835561984,626686461568,2724394960896,16491216074,48558699560,274675.59,3791693.51,17483,962993,1263032,6444626000,592633197.3,5013101782528,242943601056,31752138541056,7511,0,477693,477122,2024478,2280,,,,501754264912,6449307,6523200,1960,99.61,2788067,2798957,99.95,133986365847,134051977356,,,,
2025040100,"Mien Bac","6",9,3,100,,100,62.06,11.14,200.67,1.81,278169.07,83053.49,2.72,5.48,98.63,,,34.27,,,,,58149,58149,3188.92,1583.31,83053.49,278169.07,35322001568,63857783360,2886144980,,579170757888,664427951104,35860869760,2225352562688,,,,,,,,,,59648185280,766920,777600,92,62.61,23681,37822,,,,,,,
2025040100,"Mien Bac","1",709,254,100,0,97.8,110.65,8.15,434.6,20.27,21945100.74,1517571.34,1.32,1.88,98.13,30207.19,0,3375.37,,539672,19772472170,74658844888576,5487783623952,23810311405984,103119952157,314705439260,1517571.34,21945100.74,7532492,152687330,11691068,58486206000,5080954503.74,28121611431568,1656817480032,183334266429440,2091671,2049015,3038039,3032953,15015807,27910,,,,3450782019116,56511154,57590964,15142,99.36,22791512,22939035,99.59,741380318452,744453402174,,,,
2025040100,"Mien Bac","4",16,6,100,0,99.88,190.17,11.17,586.59,3.55,377215.12,38582.1,0.27,0.39,100,14514.08,0,16.21,,763,40800433,74022607872,80523037072,350057757072,315347783.1,954322688.77,38582.1,377215.12,9935741120,35318943936,3126407323,864000000,1833919500251.82,345180784256,15961853948,3035541672256,0,0,3206,3202,19800,80,,,,30911740420,1346400,1346400,112,91.95,30958,33668,99.82,105305586,105499062,,,,
2025040100,"Mien Trung","3",755,253,29.39,0.01,95.75,73.06,14.37,242.47,7.5,45861043.6,13512262.81,0.97,0.78,98.02,39319.91,0,5843.03,1347,4710,599482528,2946449883136,434229726068,1617131404152,3371833806.2,15710499761.88,13512262.81,45861043.6,1078454063685,8086863986745,421118635815,1036800000,102108631678612.13,108561254839345,5023735666804,367031100633472,6895030,6609243,2869938,2866903,11648766,85460,1450,3777,1195,7555924083016,67319545,68677200,11252,70.55,3317422,4702109,99.95,3585675794,3587637813,,,,
2025040100,"Mien Bac","5",43,15,100,0,0,84.76,12.79,241.25,1.84,2324235.26,368391.15,0.92,1.32,99.86,13313.76,0,306.49,,18294,672404934,1119029334016,249002171680,1082486719264,3287928980.34,9997219327.78,368391.15,2324235.26,184951238912,340646693888,16218321186.5,2672116000,3912693664163.41,3446844758944,222573084128,18866105317376,262,0,72814,72661,309312,608,,,,269449055304,3598680,3603600,773,85.1,646610,759833,99.96,11543145849,11548012783,,,,
2025040100,"Mien Nam","8",292,101,75.69,0,97.3,112.74,8.3,385.79,2.36,15199216,915442.61,2.34,2.41,98.57,20468.12,0.01,2034.43,1899858,985189,8453739920,21629017198592,11061486817944,42091863953776,266488503194,984221429899,915442.61,15199216,2550801045,6013378921.46,174151180,16700726000,67185766841.06,10747956265225,704040195052,79372203460006,489262,476638,960217,958991,5791506,13656,1001120,2503344,998469,1294236128712,127810570,129665838,7637,92.47,8175954,8841416,99.98,277480172257,277534315495,,,,
2025040100,"Mien Nam","9",1068,359,100,0.02,67.23,65.65,12.74,127.17,1.53,74161855.35,16775640.41,1.64,2.39,99.51,17992.81,0,8991.17,,105571,2594328888,5834907330560,604733695909,2628935244456,14445420020.9,43015371516.26,16775640.41,74161855.35,8397450532872,12849836860581,1233427564335.5,6218624000,156855875776284.59,136055861210880,9053230392080,594388559553536,13404862,9022307,3014893,3011428,19187318,401831,,,,10677837960544,91123459,91570449,18311,56.9,10631960,18684675,99.95,26201140176,26214598022,,,,
2025040100,"Mien Nam","2",1914,642,79.64,0,97.27,121.9,10.75,357.21,4.1,175895013.58,8786486.41,2.55,1.87,99.69,13459.23,0,18262.01,56880393,271252,6535230368,10994899845120,228921025023922,849717989671556,4290462698104.59,21708535976807.46,8786486.41,175895013.58,42420264986,173744189624.27,5534377016.5,6288184000,1976940398130.01,10052080654679,808033251852,98500276704688.76,10574793,10288353,6828047,6826685,47831841,165311,37014099,71044801,36819014,935184649824,2357261694,2364605525,59261,82.19,66075191,80396242,99.84,1511102680783,1513479184034,,,,
2025040200,"Mien Trung","3",785,263,58.33,0.73,98.04,73.07,14.52,242.14,7.77,48394101.5,14156906.34,1.44,1.34,98.01,38803.81,0,6153.64,4552,13084,584149000,2833400512512,433841913364,1615445538839,5824583815.02,23251837283.72,14156906.34,48394101.5,1116476281559,8678962986872.5,446822822011.5,1032831000,108192977326199.03,113697061943644,5294161756004,386827141751776,7002037,6872651,2846091,2842851,12158154,88958,4328,7654,4245,7830291652652,69781953,71201517,11736,70.9,3463778,4885560,99.93,3370677919,3372900081,,,,
