"DATETIME_ID","TTML","NRCELLS","GNBS","PS_CSSR_NR","SDR_NR","HOSR_NR","CELL_DL_THP_NR","CELL_UL_THP_NR","USER_DL_THP_NR","USER_UL_THP_NR","DL_TRAFFIC_NR","UL_TRAFFIC_NR","PRB_UTIL_DL_NR","PRB_UTIL_UL_NR","DKD5G_NR","LATENCY_NR","PKTLOSSR","CONNECTED_RRC_USER_AVERAGE","RANDOM_ACCESS_SUCCESS","MISSED_PACKET","NUMBER_OF_SAMPLES","TRANSFER_TIME","RB_AVAILABLEUL","RB_AVAILABLEDL","RB_USEDUL","RB_USEDDL","ULTRAFFICVOLUME","DLTRAFFICVOLUME","USERULRMVSMALLPKTTRANSFERTIME","USERULRMVLASTSLOTTRAFFICVOLUME","USERDLRMVLASTSLOTTRANSFERTIME","TOTAL_PACKET","USERDLRMVLASTSLOTTRAFFICVOLUME","CELLULTRAFFICVOLUME","CELLDLTRANSFERTIME","CELLDLTRAFFICVOLUME","INTERSGNBPSCELLCHANGEATTEMPT","INTERSGNBPSCELLCHANGESUCCESS","INTRASGNBPSCELLCHANGEATTEMPT","INTRASGNBPSCELLCHANGESUCCESS","SGNBRELEASE","SGNBTRISGNBABNORMALRELEASE","SGNB_ADDITION_ATTEMPT","RANDOM_ACCESS_ATTEMPT","SGNB_ADDITION_SUCC","CELLULTRANSFERTIME","AVAILABLE_TIME","TOTAL_TIME","CONNECTED_RRC_USER_MAX","RASR_NR","RANDOM_ACCESS_SUCCESS_NR","RANDOM_ACCESS_ATTEMPT_NR","EN_DC_SR_NR","SGNB_ADDITION_SUCCESS_NR","SGNB_ADDITION_ATTEMPT_NR","DLDELAY_GNBDU_CELL","ULDELAY_GNBDU_CELL","DLRELPSR_UU","ULRELPSR_UU"
2025040100,"Mien Bac",777,278,100,0,97.78,107.43,8.55,284.63,1.91,24924720.18,2007598.07,1.29,1.83,98.27,29621.44,0,3732.34,,558729,20485677537,75851896830464,5817308890853,25242855940469,106723232109.37,325656982859.86,2007598.07,24924720.18,230216514092,439976108514,22242564557.5,62022322000,6330864876806.96,32578064925872,1931213287868,207461265981760,2091933,2049015,3114059,3108816,15344919,28598,,,,3810791000120,62223154,63318564,16119,98.83,23492761,23770358,99.59,753028769887,756106914019,,,,
2025040100,"Mien Nam",3274,1102,79.51,0.01,80.82,73.09,12.15,128.23,1.54,265256084.93,26477569.44,2.54,1.9,99.63,17497.89,0,29287.61,58780251,1362012,17583299176,38458824374272,240587245537775,894438788869788,4571396621319.49,22735772778222.72,26477569.44,265256084.93,8442421598903,13029594429126.73,1239136092532,29207534000,158900001941255.67,156855898130784,10565303838984,772261039718230.76,24468917,19787298,10803157,10797104,72810665,580798,38015219,73548145,37817483,12907258739080,2576195723,2585841812,85209,78.65,84883105,107922333,99.87,1814783993216,1817228097551,,,,
2025040100,"Mien Trung",833,280,29.39,0.01,95.65,75.72,14.1,242.47,7.5,49652737.11,13786938.4,1.48,1.87,98.1,708317.48,0,6380.65,1347,57485,3716686856,329074285445120,1060916187636,4341526365048,19863049880.2,64269199321.88,13786938.4,49652737.11,1078454081168,8086864949738,421119898847,7481426000,102109224311809.42,113574356621873,5266679267860,398783239174528,6902541,6609243,3347631,3344025,13673244,87740,1450,3777,1195,8057678347928,73768852,75200400,13212,81.39,6105489,7501066,99.95,137572041641,137639615169,,,,
2025040100,"Mobifone",4884,1660,79.5,0.01,84.93,77.6,12.23,158.89,2.21,339833542.22,42272105.91,2.5,1.9,99.55,84887.49,0,39400.6,58781598,1978226,41785663569,443385006649856,247465470616264,924023171175305,4697982903309.06,23125698960404.46,42272105.91,339833542.22,9751092194163,21556435487378.73,1682498555936.5,98711282000,267340091129872.05,303008319678529,17763196394712,1378505544874518.76,33463391,28445556,17264847,17249945,101828828,697136,38016669,73551922,37818678,24775728087128,2712187729,2724360776,114540,82.25,114481355,139193757,99.79,2705384804744,2710974626739,,,,
2025040200,"Mien Bac",871,313,100,0.16,97.18,100.34,9.22,233.02,2.18,28279264.01,2295817.06,1.04,1.42,98.3,15427.75,0,4384.79,,718837,22218641680,42847947839488,3149152984136,13656261891216,44607864445.85,141369846377.22,2295817.06,28279264.01,246476792029,536624516767,21149796694.5,66592902000,4928304274130.67,17613256363312,998209142824,100156005491728,2214111,2155333,1526911,1524377,8083793,13230,,,,1911344717664,67259718,68421754,18219,98.59,27791441,28188273,99.59,1053966919560,1058351761251,,,,
2025040200,"Mien Nam",3317,1116,76.66,0.56,77.59,76.78,12.87,176.72,2.74,273483481.12,28285459.71,2.52,1.8,99.82,12074.01,0,29732.38,61711568,370763,18529154420,27965157273600,247019958572232,918442190350551,4445795956878.01,23149533276902.64,28285459.71,273483481.12,5308753859414,14542660318812.24,869229751132.5,30654326000,153613279501247.85,170220408872310,10534939462652,808834249112192.13,28115878,21827585,11858956,11852864,75579435,425180,39707818,80119537,39517750,13229017777152,2576133890,2580701163,86261,77.13,86672171,112374665,99.85,2184827971447,2188093336842,,,,
2025040200,"Mien Trung",869,292,58.33,0.66,97.95,75.8,14.29,242.14,7.77,52450702.86,14497104.41,1.68,2.19,98.02,16615.77,0,6853.59,4552,72703,3978612244,8263465197568,1091787606484,4475587645207,23869549016.02,74990749404.72,14497104.41,52450702.86,1116491255966,8679184363077.5,446824093990,7798361000,108193571858784.91,119439682904348,5552062263076,420827033717472,7032451,6895885,3365786,3361979,13982573,91733,4328,7654,4245,8357693368460,76551125,78099117,14164,80.99,6137988,7578291,99.95,110054822795,110105138417,,,,
2025040200,"Mobifone",5057,1721,76.65,0.54,82.59,77.83,13.08,199.47,3.56,354213447.99,45078381.17,2.49,1.8,99.73,14144.05,0,40970.76,61716120,1162303,44726408344,79076570310656,251260899162852,936574039886974,4514273370339.88,23365893872684.57,45078381.17,354213447.99,6671721907409,23758469198656.74,1337203641817,105045589000,266735155634163.43,307273348139970,17085210868552,1329817288321392.13,37362440,30878803,16751653,16739220,97645801,530143,39712146,80127191,39521995,23498055863276,2719944733,2727222034,118644,81.41,120601600,148141229,99.77,3348849713802,3356550236510,,,,
2025040300,"Mien Bac",894,316,100,100,96.76,74.76,15.51,247.4,2.74,29383180.16,2523882.83,0.49,0.61,97.98,16022.67,0,4316.73,,864781,23710316469,47487818852864,30862289391,117095967215,189492483.59,568946325.09,2523882.83,29383180.16,270503532055,740895014033,23341859676,72147652000,5774849046521.97,4490207295816,260407260792,19469297392640,2326688,2251268,0,0,,,,,,289493190544,75288785,76842917,18803,98.62,34319712,34799527,99.73,1963758918407,1969131411825,,,,
2025040300,"Mien Nam",3502,1178,75.43,0.61,72.23,74.68,12.81,169.18,2.46,278896944.73,29606132.57,2.51,1.8,99.63,11887.32,0,30834.83,62989042,351905,18304782382,27199354859520,251727064249138,935958298922015,4523566972813.05,23514481472557.95,29606132.57,278896944.73,6023890575054,14793121670769.51,940285950631,31195678000,159073692351394.1,179289760348202,11099382744212,828937679607324.9,31565351,22812277,12052732,12046652,77211653,470768,40574234,83106761,40381643,13990851594416,2708684327,2718867690,89111,76.01,88447056,116358392,99.88,2322610010633,2325332739623,,,,
2025040300,"Mien Trung",890,299,62.13,0.71,98.9,73.69,14.28,236.13,7.34,39638961.47,11263061.99,1.46,1.78,98.78,22060.34,0,7015.94,5948,78797,3853987044,10627535265792,808624991293,3243845109683,14420518449.7,47472225707.84,11263061.99,39638961.47,912668420254,6695298834083,357194177734.5,4542795000,84344301931223.98,91623460391504,4305837334124,317310563626080,5605280,5550137,2433734,2430956,10367643,73213,5514,9410,5420,6417792183808,58994564,59721483,14207,76.38,4077131,5337733,99.97,36968019920,36978659812,,,,
2025040300,"Mobifone",5286,1793,75.43,0.62,77.46,74.41,13.31,188.66,3.08,347919086.36,43393077.39,2.51,1.8,99.56,14879.69,0,42167.5,62994990,1295483,45869085895,85314708978176,252566551529822,939319239998913,4538176983746.34,23562522644590.88,43393077.39,347919086.36,7207062527363,22229315518885.51,1320821988041.5,107886125000,249192843329140.05,275403428035522,15665627339128,1165717540626044.9,39497319,30613682,14486466,14477608,87579296,543981,40579748,83116171,40387063,20698136968768,2842967676,2855432090,122121,81.05,126843899,156495652,99.81,4323336948960,4331442811260,,,,
2025040400,"Mien Bac",944,336,100,0.15,96.3,104.57,8.27,280.22,2.33,29595984.44,2524629.3,1.58,2.31,98.75,16110.07,0,4593.09,,1025993,23396768628,47115449246720,5383784369447,23362081934163,124314063875.35,368869923910.37,2524629.3,29595984.44,275552364436,641085517680,27311195314,73230850000,7653157907057.3,35075512099224,2188612591320,228861483843072,2496362,2407992,3631354,3625181,21660086,32947,,,,4243775931316,76709697,77683730,20044,98.77,36053237,36502903,99.96,1815566747976,1816232033601,,,,
2025040400,"Mien Nam",3569,1199,75.23,0.63,73.2,73.58,12.85,161.43,2.34,290696676.69,31119888.33,2.54,1.84,99.78,11876.74,0,32568.85,68441948,373961,19349561258,28726220341248,260512207403827,968555181057963,4795958722353.44,24583408919504.79,31119888.33,290696676.69,6415329981914,14992992773391.2,982841768441.5,31905875000,158664167583440.07,188115716774019,11591171132328,852907229132289.3,34196027,25044981,12995636,12989027,83535175,528232,43711086,90540444,43499223,14640176442000,2741511672,2747683152,94922,75.71,96063005,126891143,99.87,2915899795278,2919740689128,,,,
2025040400,"Mien Trung",896,302,65.54,0.77,97.59,70.57,14.56,227.29,7.03,51947676.95,15366342.59,1.82,1.94,100,14069.6,0,7529.8,6347,12042,1025761173,1804006317056,472090200678,1781508121832,9165331499.2,32488706454.77,15366342.59,51947676.95,1253188704930,8811507206999,485241878377.5,1425603000,110288628792556.8,123685454274332,5884903290168,415324759042624,8478235,8283672,3149636,3145781,13879323,106635,6031,9471,5898,8494824092436,73721785,73724400,14564,68.86,4285898,6223934,99.85,3286006318,3291058605,,,,
2025040400,"Mobifone",5409,1837,75.23,0.56,79.05,76.13,12.67,184.97,3.08,372240338.08,49010860.22,2.51,1.85,99.75,14190.9,0,44691.74,68448295,1411996,43772091059,77645675905024,266368081973952,993698771113958,4929438117727.99,24984767549869.92,49010860.22,372240338.08,7944071051280,24445585498070.2,1495394842133,106562328000,276605954283054.17,346876683147575,19664687013816,1497093472017985.3,45170624,35736645,19776626,19759989,119074584,667814,43717117,90549915,43505121,27378776465752,2891943154,2899091282,129530,80.42,136402140,169617980,99.9,4734752549572,4739263781334,,,,
2025040500,"Mien Bac",980,351,100,0.12,95.16,102.91,8.14,229.18,2.54,27116880.73,2463083.56,1.07,1.52,99.47,15306.38,0,3979.83,,643928,20551748246,39321606164992,7512968881563,32609330547387,113891820832.54,349852773162.58,2463083.56,27116880.73,388281475210,986416696224,31565176100,76893526000,7234254814726.18,35686523272952,2191966905668,225582866095232,1999806,1906279,3343366,3337567,20981935,24302,,,,4382138114124,81196297,81628807,17333,98.54,30062383,30507704,99.96,1407478237527,1407994238871,,,,
2025040500,"Mien Nam",3581,1203,74.6,0.62,71.67,74.82,12.59,171.59,2.51,277576520.84,30408718.52,2.38,1.63,99.95,12773.27,0,30392.8,63007847,362687,21969018136,35077019648000,268041128260932,996735462825608,4360917193125.1,23679523202867.28,30408718.52,277576520.84,5931199619563,14870058957167.42,878539009375,34104510000,150745182543537.24,189216552004106,11287253501860,844565371699419,33129859,23758705,12647383,12639810,80460860,502028,40200571,84108775,40032300,15030803757460,2752712065,2754167910,87594,75.62,92655001,122523938,99.85,2900455520317,2904870840890,,,,
2025040500,"Mien Trung",917,309,71.56,0.68,96.77,74.51,14.09,229.17,6.62,56731303.8,15611262.88,1.89,2.63,98.94,16283.83,0,7447.71,8797,103559,4911794860,9997856985088,1169028631808,4810166359428,30687014027.99,90905524593.69,15611262.88,56731303.8,1299978623366,8605399618204.75,488781934077.5,8589362000,112013355791127.58,128945204892668,6107643533172,455075198635456,9106466,8823236,3766404,3761640,15861709,107981,8380,12026,8198,9153312594824,81579597,82451154,15377,77.88,7422914,9531576,99.92,146643130296,146761053931,,,,
2025040500,"Mobifone",5478,1863,74.6,0.54,77.89,77.87,12.39,193.01,3.21,361424705.37,48483064.96,2.33,1.63,99.91,14234.35,0,41820.34,63016644,1110174,47432561242,84396482798080,276723125774303,1034154959732423,4505496027985.63,24120281500623.55,48483064.96,361424705.37,7619459718139,24461875271596.17,1398886119552.5,119587398000,269992793149391,353848280169726,19586863940700,1525223436430107,44236131,34488220,19757153,19739017,117304504,634311,40208951,84120801,40040498,28566254466408,2915487959,2918247871,120304,80.06,130140298,162563218,99.89,4454576888140,4459626133692,,,,
2025040600,"Mien Bac",1004,359,100,0.1,93.74,102.98,8.73,156.85,2.39,27004920.74,2835643.24,0.97,1.38,99.49,14974.45,0,3710.02,,621512,19301681690,36129009942144,7730979848127,33557201924179,106511983111.49,326162871529.38,2835643.24,27004920.74,803289364768,1922969936578,65305152411.5,79136535000,10242869068824.54,36998929969712,2175741757484,224065547830080,1879801,1765353,2868584,2863468,20408982,20532,,,,4237844931376,84634289,85069413,16864,98.28,28738163,29240379,99.97,1736953523397,1737388849837,,,,
2025040600,"Mien Nam",3583,1205,75.57,0.58,73.4,76.79,12.3,176.45,2.59,263790800.9,28929735.99,2.26,1.52,99.99,11817.02,0,27322.26,55917821,419602,22679095894,33499912472576,269705636296708,1003050229708935,4091378794000.69,22714551458017.74,28929735.99,263790800.9,5659465511753,14666313535683.75,820288525350,35946666000,144739215348878,181909290301626,10649393188052,817798159242266,29873469,21939571,11558279,11551631,72743036,424976,35525366,73637479,35354417,14784480898880,2752449132,2752786556,80502,76.45,84525226,110565846,99.93,2469908687570,2471726732865,,,,
2025040600,"Mien Trung",928,313,70.77,0.69,86.52,76.16,13.82,230.82,7.11,56996808.74,15503399.15,1.86,2.56,99.49,14858.44,0,7203.64,10087,124633,5004995436,9295804215296,1193556535884,4916806257997,30614338324.79,91669594883.75,15503399.15,56996808.74,1332290688028,9473096391333.25,496025000797,8841600000,114490161122125.55,128040893302061,6002678952616,457186527574496,10087429,8738718,3637227,3632652,15421908,107077,9897,13838,9609,9262414116144,82976055,83404800,15084,78.87,7500190,9509417,99.93,157524174140,157631994876,,,,
2025040600,"Mobifone",5515,1877,75.57,0.51,77.47,79.62,12.27,195.04,3.34,347792530.38,47268778.38,2.22,1.52,99.96,13438.06,0,38235.92,55927908,1165747,46985773020,78924726630016,278630172680719,1041524237891111,4228505115436.97,23132383924430.87,47268778.38,347792530.38,7795045564549,26062379863595,1381618678558.5,123924801000,269472245539828.09,346949113573399,18827813898152,1499050234646842,41840699,32443642,18064090,18047751,108573926,552585,35535263,73651317,35364026,28284739946400,2920059476,2921260769,112450,80.88,120763579,149315642,99.95,4364386385107,4366747577578,,,,
2025040700,"Mien Bac",1012,361,100,0.11,94.25,104.59,8.31,253.8,3.29,27171870.33,2615688.29,0.99,1.39,99.66,15984.89,0,3678.66,,674729,19946590955,39855513522688,7824865328007,33965220554984,108851145986.38,336617432709.55,2615688.29,27171870.33,407686479889,1343013153883,36303514119.5,80100079000,9213820501065.56,36068038507904,2157490609580,225658235318192,1758670,1660709,2719516,2714395,21239444,22466,,,,4341168451144,85880689,86175022,16875,98.39,29295409,29773806,99.97,1656429005065,1656997630535,,,,
2025040700,"Mien Nam",3579,1203,74.71,0.59,74.69,75.93,11.97,173.12,2.36,255502436.49,27346986.79,2.24,1.5,99.99,11396.92,0,26296.57,53766382,329277,21367113946,30439898508800,269246030533763,1001360165436042,4050356456035.16,22475343183053.63,27346986.79,255502436.49,5301151263351,12514427368584.46,775492503491.5,36196552000,134256013142769.39,169909263850231,10103818086040,767146731259575.75,27545649,20585572,10680430,10674436,68714298,407883,34366648,71650351,34216784,14195622266972,2749500472,2749833468,78288,75.84,80550490,106217386,99.82,2419643300786,2424066723658,,,,
2025040700,"Mien Trung",934,315,50.75,0.66,65.45,76.81,13.52,233.62,6.86,55311780.58,14887652.52,1.67,2.23,99.81,16682.14,0,6970.32,3427,80160,4849943484,10113428770816,1215526394642,5012281565718,27074888262.36,83624378240.52,14887652.52,55311780.58,1299912433119,8917069915478.5,481732140188,9067430000,112540269407777.02,122991780419879,5781670485608,444081003777392,12507069,8195493,3369030,3364918,14748189,97500,3351,6303,3128,9093876686532,83455954,83613060,14776,76.67,6989283,9116138,99.94,119792994579,119866228735,,,,
2025040700,"Mobifone",5525,1879,74.71,0.5,72.74,79.64,11.91,197.92,3.25,337986087.4,44850327.61,2.2,1.5,99.97,13934.57,0,36945.55,53769809,1084166,46163648385,80408840802304,278286422256412,1040337667556744,4186282490283.89,22895584994003.7,44850327.61,337986087.4,7008750176359,22774510437945.96,1293528157799,125364061000,256010103051611.97,328969082778014,18042979181228,1436885970355159.75,41811388,30441774,16768976,16753749,104701931,527849,34369999,71656654,34219912,27630667404648,2918837115,2919621550,109939,80.52,116835182,145107330,99.88,4195865300430,4200930582928,,,,
2025040800,"Mien Bac",1059,376,100,0.12,93.59,100.3,8.69,219.73,2.58,33123716.49,3272435.02,1.25,1.83,97.78,16222.82,0,5299.41,,774525,24840853610,50373582321920,7906401174572,34320354557780,144937229966.28,428697889037.25,3272435.02,33123716.49,516756157437,1332482286299,49011835345.5,80939747000,10769228643421.61,47114686364456,2747518784944,275572764553304,2292186,2149281,3965059,3957756,32019574,38434,,,,5422227260680,87608900,89597476,22548,98.37,43009114,43723959,99.96,3048461066544,3049575038096,,,,
2025040800,"Mien Nam",3830,1289,76.54,0.58,71.53,74.85,12.59,162.13,2.15,298421119.64,31551903.18,2.5,1.85,99.61,12479.86,0,34707.8,71201067,466698,23322248604,36382285574144,275100700670139,1023144431878608,5086220856540.2,25611422033532.14,31551903.18,298421119.64,6646723188569,14286162867321.7,984174683991,36649443000,159560527709798.36,192083672622277,11667066285988,873259277196228.5,34705475,24841042,13286194,13277700,88399198,513072,45692254,92620123,45491461,15260616335140,2969223682,2980862346,101422,77.35,102199417,132130616,99.86,3134582304702,3138849757555,,,,
2025040800,"Mien Trung",950,321,60.3,0.76,48.33,74.34,14.13,216.27,6.06,60857728.45,16197604.45,1.77,2.4,99.14,13077.38,0,8269.86,5152,88767,5145075460,8410511548416,1265430519357,5229215917378,30376471825.21,92711576879.01,16197604.45,60857728.45,1571700564867,9522932992409.5,577435506020,9580550000,124879129304983.31,134013119281558,6570790290912,488487451829256,19795013,9577496,3900087,3895729,17788552,134658,4844,8374,4748,9482504555696,84228599,84958721,16450,78.7,8524175,10830860,99.92,225013740492,225188622943,,,,
2025040800,"Mobifone",5839,1986,76.53,0.5,64.33,78.02,12.37,183.29,2.88,392402564.59,51021942.65,2.46,1.85,99.54,14281.69,0,48277.07,71206219,1329990,53308177674,95166379444480,284272532364068,1062694002353766,5261534558331.69,26132831499448.41,51021942.65,392402564.59,8735179910873,25141578146030.2,1610622025356.5,127169740000,295208885658203.28,373211478268291,20985375361844,1637319493578788.5,56792674,36567819,21151340,21131185,138207324,686164,45697098,92628497,45496209,30165348151516,3141061181,3155418543,140420,82.35,153732706,186685435,99.91,6408057111738,6413613418594,,,,
2025040900,"Mien Bac",1086,386,100,0.14,91.89,100.09,8.87,217.32,2.71,36647919.24,3766482.99,1.33,1.88,97.82,16472.45,0,5605.48,,894139,26140273467,53824298984512,7903960052648,34308185162590,148854049088.33,455147976445.48,3766482.99,36647919.24,726851927517,1971652860430,75167367033.5,80914408000,16335708379105.57,51737320063960,3041566176888,304440427970208,2407527,2216332,4394366,4386551,34786068,48366,,,,5835807562684,90419121,92430318,23254,98.04,45011375,45910434,99.97,3533922080209,3535006945777,,,,
2025040900,"Mien Nam",3811,1280,77.03,0.53,73.99,75.42,12.7,167.53,2.27,305992137.09,32556999.21,2.65,2.02,99.8,11742.89,0,36197.43,74987503,398249,23115620880,33930523508736,262198428563524,975285490565318,5290408132734.1,25851685951432.08,32556999.21,305992137.09,6637644377979,15072107737940.15,1012507534195,36829835000,169630423007156.23,199149195088200,12054328092556,909142803463454.91,36310045,26884173,13671889,13662862,91846187,488834,47026607,96872970,46794613,15675823738068,2787477165,2792961600,104617,77.62,106296286,136940081,99.84,3572692627731,3578369544750,,,,
2025040900,"Mien Trung",960,325,57.48,0.84,89.13,74.77,14.24,214.82,6.08,65019423.73,16889195.75,1.86,2.47,99.69,14474.42,0,8754.15,4714,105710,5498531136,9948503605248,1290565942010,5338484875772,31852282306.06,99099430595.59,16889195.75,65019423.73,1693753283684,10296076297186.5,633182887707.5,9839049000,136017343303254.05,139817033223140,6980812375428,521959133527552,12060499,10763486,4137053,4131776,18349113,154726,4406,7926,4258,9815685047748,85597066,85861722,17173,78.32,9113229,11636586,99.95,231188631005,231315146940,,,,
2025040900,"Mobifone",5857,1991,77.02,0.48,78.43,78.61,12.47,187.11,3.02,407659480.07,53212677.95,2.6,2.02,99.74,14275.13,0,50557.06,74992217,1398098,54754425483,97703326098496,271392954558182,1014932160603680,5471114464128.49,26405933358473.15,53212677.95,407659480.07,9058249589180,27339836895556.66,1720857788936,127583292000,321983474689515.85,390703548375300,22076706644872,1735542364961214.91,50778071,39863991,22203308,22181189,144981368,691926,47031013,96880896,46798871,31327316348500,2963493352,2971253640,145044,82.48,160420890,194487101,99.91,7337803338945,7344691637467,,,,
2025041000,"Mien Bac",1133,403,100,0.15,88.41,96.29,9.15,212.05,3.17,39139594.42,4530235.6,1.34,1.91,98.27,16323.82,0,5978.92,,885334,26212912426,53486866616064,7967457739732,34584419827412,152230326738.67,464954830853.68,4530235.6,39139594.42,997205007764,3161944719335,107810250396,81568213000,22861383823304.48,58091165460432,3371349438028,324643402394464,2695061,2387093,4834864,4826028,37498938,57596,,,,6347444311692,94566869,96229270,23992,97.85,46360429,47378844,99.97,3600339541014,3601256722445,,,,
2025041000,"Mien Nam",3970,1334,77.46,0.75,88.77,72.83,12.13,122.92,1.4,338352676.38,33593542.47,2.7,2.13,99.81,13105.17,0,38364.61,85114464,1189693,25839982920,42329669602304,295993285601180,1100875611754456,6294242297866.47,29765791946445.86,33593542.47,338352676.38,10628839010344,14866664333239.79,1444915790213.5,39159385000,177603125559994.32,196794347975938,12753226642912,928759603990536.26,32429893,28806024,14488938,14480163,102260500,764756,52857491,109321553,52589029,16218760930268,3096747744,3102544908,111529,78.13,122122241,156310886,99.95,4248627247348,4250751987435,,,,
2025041000,"Mien Trung",962,326,60.72,0.9,82.39,74.41,14.31,203.73,5.67,66853918.71,17217822,1.97,2.69,99.88,15444.07,0,9065.55,5411,207290,6133137796,11840076658688,1336825147358,5539594442340,35928399035.36,109217214361.88,17217822,66853918.71,1771209472820,10044608290079,670557677629.5,10314696000,136615867336783.49,143169715029678,7215331372612,536869119038400,14450157,11920262,4503666,4498251,17765748,160092,5166,8629,5002,10005404196424,86028376,86135151,17414,76.69,9240452,12048364,99.84,41024402515,41089367599,,,,
2025041000,"Mobifone",6065,2063,77.46,0.62,86.88,76.7,12.22,151.61,2.1,444346189.51,55341600.07,2.66,2.12,99.77,14801.71,0,53409.08,85119875,2282317,58186033142,107656612877056,305297568488270,1140999626024208,6482401023640.5,30339963991661.42,55341600.07,444346189.51,13397253490928,28073217342653.79,2223283718239,131042294000,337080376720082.3,398055228466048,23339907453552,1790272125423400.26,49575111,43113379,23827468,23804442,157525186,982444,52862657,109330182,52594031,32571609438384,3277342989,3284909329,152935,82.38,177723122,215738094,99.96,7889991190877,7893098077479,,,,
2025041100,"Mien Bac",1165,415,100,0.15,82.68,94.89,9.2,193.16,2.64,41224839.63,4935045.62,1.38,1.95,98.79,21091.02,0,6308.59,,879605,27202257644,71715410787328,8079633969570,35072186561484,157802742318.34,482927291115.71,4935045.62,41224839.63,1183220223651,3119797461349.26,128087483333.5,82733281000,24741471350419.98,62089245470855,3600643601676,341674843600776,3085489,2555863,4975182,4965933,40878457,60834,,,,6748393900172,98077790,99278490,25155,97.83,49790870,50896992,99.98,4393124729274,4394213287879,,,,
2025041100,"Mien Nam",4037,1357,77.19,0.57,89.24,75.16,12.48,151.51,2.09,352074089.4,35020467.58,2.76,2.19,99.84,13106.8,0,40109.37,93911516,496676,26175939348,42885359903744,305892247818594,1137631457813249,6696052965346.39,31453599531617.9,35020467.58,352074089.4,7335112937830,15310779937473.06,1115562550223,39417767000,169023430582917.87,202086340009981,12340565850292,927553246724626.39,35243269,31465217,15583058,15575204,110179986,630688,57443154,121084166,57169946,16186964885664,3183382889,3188592224,116107,78.25,130773556,167131610,99.91,5226243676953,5231206136271,,,,
2025041100,"Mien Trung",978,330,60.53,0.86,77.41,74.46,14.35,208.95,5.61,67702951.67,17431361.81,2.02,2.88,99.59,12921.2,0,9499.61,5596,113388,6357234456,10267884748800,1369693177071,5682471634419,39421693683.7,114524893993.22,17431361.81,67702951.67,1821407608205,10211589720415.5,665044597403,10652669000,138957966234731.13,145189334268368,7300653960768,543612511813280,16255183,12598283,4860852,4854941,18267674,157379,5415,8661,5073,10115218291476,86897146,87258870,18230,76.25,9730915,12762139,99.88,39314977303,39362950491,,,,
2025041100,"Mobifone",6180,2102,77.19,0.5,85.33,78,12.39,174.32,2.77,461001880.7,57386875.01,2.72,2.19,99.8,16722.89,0,55917.57,93917112,1489669,59735431448,124868655439872,315341574965235,1178386116009152,6893277401348.43,32051051716726.84,57386875.01,461001880.7,10339740769686,28642167119237.81,1908694630959.5,132803717000,332722868168068.98,409364919749204,23241863412736,1812840602138682.39,54583941,46619363,25419092,25396078,169326117,848901,57448569,121092827,57175019,33050577077312,3368357825,3375129584,159492,82.45,190295341,230790741,99.94,9658683383530,9664782374641,,,,
2025041200,"Mien Bac",1215,429,100,0.14,79.42,94.57,9.01,193.33,2.45,39782119.23,4990181.19,1.26,1.8,98.2,15821.54,0,5949.98,,863619,25927083315,51275814238208,8215687785179,35663696581368,147703777194.92,450629532262.12,4990181.19,39782119.23,1287370548260,3153933250015,130374112961.5,84125424000,25205210748488.79,60562861432008,3482896887992,329365706939064,2956810,2352641,4621304,4612925,37948790,53502,,,,6724982049476,102417686,104293041,24054,97.7,45473231,46543075,99.93,3254166882366,3256518139662,,,,
2025041200,"Mien Nam",4024,1353,75.57,0.59,88.9,75.41,12.37,148.66,2.07,342863237.93,34475803.59,2.7,2.12,99.85,12421.61,0,37935.01,88342100,447734,26980134176,41892096489472,306162313699097,1138656754636492,6505374329776.26,30699433403426.36,34475803.59,342863237.93,7475123559923,15483016107703.82,1106226344750.5,39821994000,164449630357043.11,201239699169241,12133951237680,915030738980199.49,33933636,30181550,14825988,14818175,104991796,617798,53743043,116471224,53544918,16262243080928,3183267077,3188046288,110490,76.95,124569194,161881411,99.86,4737251313982,4743919545736,,,,
2025041200,"Mien Trung",984,332,55.89,0.95,73.35,76.07,14.12,200.67,5.62,69418128.79,17381565.04,2.11,2.88,99.68,13207.3,0,9227.32,4373,223345,7128881600,11769160421376,1417510188144,5890352588404,40831534941.1,124320772114.47,17381565.04,69418128.79,1986858651853,11171818217324,717776664078.5,11144353000,144035979493078.66,145244627925211,7333067705000,557821588680672,17137000,12586931,4987421,4980920,18292748,173047,4162,7255,3859,10282878156608,87848136,88131600,18217,76.63,10630195,13871371,99.84,50353266379,50435583874,,,,
2025041200,"Mobifone",6223,2114,75.57,0.52,83.44,78.53,12.23,170.74,2.77,452063485.95,56847549.82,2.65,2.12,99.79,13983.2,0,53112.31,88346473,1534698,60036099091,104937071149056,315795511672420,1180210803806264,6693909641912.27,31274383707802.94,56847549.82,452063485.95,10749352760036,29808767575042.82,1954377121790.5,135091771000,333690820598610.56,407047188526460,22949915830672,1802218034599935.49,54027446,45121122,24434713,24412020,161233334,844347,53747205,116478479,53548777,33270103287012,3373532899,3380470929,152761,81.28,180672620,222295857,99.89,8041771462727,8050873269272,,,,
